reactionID,dcid
bio/HMR_7656,bio/CHEMBL14249
bio/HMR_8813,bio/CHEMBL14249
bio/HMR_8815,bio/CHEMBL14249
bio/HMR_8824,bio/CHEMBL14249
bio/HMR_4338,bio/CHEMBL14249
bio/HMR_7147,bio/CHEMBL14249
bio/HMR_7908,bio/CHEMBL14249
bio/HMR_7910,bio/CHEMBL14249
bio/HMR_7912,bio/CHEMBL14249
bio/HMR_8105,bio/CHEMBL14249
bio/HMR_8106,bio/CHEMBL14249
bio/HMR_8107,bio/CHEMBL14249
bio/HMR_8108,bio/CHEMBL14249
bio/HMR_8109,bio/CHEMBL14249
bio/HMR_8110,bio/CHEMBL14249
bio/HMR_8143,bio/CHEMBL14249
bio/HMR_7668,bio/CHEMBL14249
bio/HMR_7672,bio/CHEMBL14249
bio/HMR_8712,bio/CHEMBL14249
bio/HMR_6506,bio/CHEMBL14249
bio/HMR_6508,bio/CHEMBL14249
bio/HMR_4204,bio/CHEMBL14249
bio/HMR_4206,bio/CHEMBL14249
bio/HMR_4065,bio/CHEMBL14249
bio/HMR_4066,bio/CHEMBL14249
bio/HMR_4068,bio/CHEMBL14249
bio/HMR_9466,bio/CHEMBL14249
bio/HMR_9488,bio/CHEMBL14249
bio/HMR_9491,bio/CHEMBL14249
bio/HMR_9493,bio/CHEMBL14249
bio/HMR_9503,bio/CHEMBL14249
bio/HMR_9517,bio/CHEMBL14249
bio/HMR_9528,bio/CHEMBL14249
bio/HMR_9577,bio/CHEMBL14249
bio/HMR_9579,bio/CHEMBL14249
bio/HMR_9798,bio/CHEMBL14249
bio/HMR_0190,bio/CHEMBL14249
bio/HMR_0194,bio/CHEMBL14249
bio/HMR_0198,bio/CHEMBL14249
bio/HMR_0202,bio/CHEMBL14249
bio/HMR_0207,bio/CHEMBL14249
bio/HMR_0211,bio/CHEMBL14249
bio/HMR_0215,bio/CHEMBL14249
bio/HMR_0224,bio/CHEMBL14249
bio/HMR_0231,bio/CHEMBL14249
bio/HMR_0235,bio/CHEMBL14249
bio/HMR_0239,bio/CHEMBL14249
bio/HMR_0243,bio/CHEMBL14249
bio/HMR_0247,bio/CHEMBL14249
bio/HMR_0253,bio/CHEMBL14249
bio/HMR_0257,bio/CHEMBL14249
bio/HMR_0261,bio/CHEMBL14249
bio/HMR_0265,bio/CHEMBL14249
bio/HMR_0269,bio/CHEMBL14249
bio/HMR_0273,bio/CHEMBL14249
bio/HMR_0277,bio/CHEMBL14249
bio/HMR_0281,bio/CHEMBL14249
bio/HMR_0287,bio/CHEMBL14249
bio/HMR_0291,bio/CHEMBL14249
bio/HMR_0295,bio/CHEMBL14249
bio/HMR_0299,bio/CHEMBL14249
bio/HMR_0303,bio/CHEMBL14249
bio/HMR_0307,bio/CHEMBL14249
bio/HMR_0311,bio/CHEMBL14249
bio/HMR_0317,bio/CHEMBL14249
bio/HMR_0321,bio/CHEMBL14249
bio/HMR_0325,bio/CHEMBL14249
bio/HMR_0329,bio/CHEMBL14249
bio/HMR_0335,bio/CHEMBL14249
bio/HMR_0339,bio/CHEMBL14249
bio/HMR_0343,bio/CHEMBL14249
bio/HMR_0347,bio/CHEMBL14249
bio/HMR_0351,bio/CHEMBL14249
bio/HMR_0355,bio/CHEMBL14249
bio/HMR_0359,bio/CHEMBL14249
bio/HMR_0363,bio/CHEMBL14249
bio/HMR_0367,bio/CHEMBL14249
bio/HMR_0371,bio/CHEMBL14249
bio/HMR_0375,bio/CHEMBL14249
bio/HMR_0379,bio/CHEMBL14249
bio/HMR_0383,bio/CHEMBL14249
bio/HMR_0387,bio/CHEMBL14249
bio/HMR_0391,bio/CHEMBL14249
bio/HMR_0395,bio/CHEMBL14249
bio/HMR_0399,bio/CHEMBL14249
bio/HMR_0403,bio/CHEMBL14249
bio/HMR_0407,bio/CHEMBL14249
bio/HMR_0411,bio/CHEMBL14249
bio/HMR_0415,bio/CHEMBL14249
bio/HMR_0419,bio/CHEMBL14249
bio/HMR_0423,bio/CHEMBL14249
bio/HMR_0427,bio/CHEMBL14249
bio/HMR_0431,bio/CHEMBL14249
bio/HMR_0435,bio/CHEMBL14249
bio/HMR_0439,bio/CHEMBL14249
bio/HMR_0469,bio/CHEMBL14249
bio/HMR_0470,bio/CHEMBL14249
bio/HMR_0476,bio/CHEMBL14249
bio/HMR_1911,bio/CHEMBL14249
bio/HMR_1913,bio/CHEMBL14249
bio/HMR_3964,bio/CHEMBL14249
bio/HMR_5295,bio/CHEMBL14249
bio/HMR_5303,bio/CHEMBL14249
bio/HMR_5332,bio/CHEMBL14249
bio/HMR_5429,bio/CHEMBL14249
bio/HMR_5442,bio/CHEMBL14249
bio/HMR_5443,bio/CHEMBL14249
bio/HMR_5444,bio/CHEMBL14249
bio/HMR_5445,bio/CHEMBL14249
bio/HMR_5446,bio/CHEMBL14249
bio/HMR_6392,bio/CHEMBL14249
bio/HMR_6406,bio/CHEMBL14249
bio/HMR_7629,bio/CHEMBL14249
bio/HMR_7633,bio/CHEMBL14249
bio/HMR_7634,bio/CHEMBL14249
bio/HMR_7635,bio/CHEMBL14249
bio/HMR_7636,bio/CHEMBL14249
bio/HMR_7637,bio/CHEMBL14249
bio/HMR_7650,bio/CHEMBL14249
bio/HMR_7667,bio/CHEMBL14249
bio/HMR_7679,bio/CHEMBL14249
bio/HMR_7681,bio/CHEMBL14249
bio/HMR_7691,bio/CHEMBL14249
bio/HMR_7692,bio/CHEMBL14249
bio/HMR_7736,bio/CHEMBL14249
bio/HMR_7737,bio/CHEMBL14249
bio/HMR_7738,bio/CHEMBL14249
bio/HMR_7964,bio/CHEMBL14249
bio/HMR_7967,bio/CHEMBL14249
bio/HMR_7982,bio/CHEMBL14249
bio/HMR_7986,bio/CHEMBL14249
bio/HMR_7990,bio/CHEMBL14249
bio/HMR_8103,bio/CHEMBL14249
bio/HMR_8633,bio/CHEMBL14249
bio/HMR_8658,bio/CHEMBL14249
bio/HMR_8730,bio/CHEMBL14249
bio/HMR_8850,bio/CHEMBL14249
bio/HMR_8892,bio/CHEMBL14249
bio/HMR_8922,bio/CHEMBL14249
bio/HMR_8923,bio/CHEMBL14249
bio/HMR_8930,bio/CHEMBL14249
bio/HMR_8934,bio/CHEMBL14249
bio/HMR_8935,bio/CHEMBL14249
bio/HMR_4905,bio/CHEMBL14249
bio/HMR_3008,bio/CHEMBL14249
bio/HMR_3011,bio/CHEMBL14249
bio/HMR_3013,bio/CHEMBL14249
bio/HMR_3014,bio/CHEMBL14249
bio/HMR_3017,bio/CHEMBL14249
bio/HMR_3473,bio/CHEMBL14249
bio/HMR_7785,bio/CHEMBL14249
bio/HMR_7786,bio/CHEMBL14249
bio/HMR_4907,bio/CHEMBL14249
bio/HMR_7799,bio/CHEMBL14249
bio/HMR_6578,bio/CHEMBL14249
bio/HMR_8661,bio/CHEMBL14249
bio/HMR_4906,bio/CHEMBL14249
bio/5HTRPVESSEC,bio/CHEMBL14249
bio/ACHVESSEC,bio/CHEMBL14249
bio/ADRNLPVESSEC,bio/CHEMBL14249
bio/ATPasel,bio/CHEMBL14249
bio/BALAVECSEC,bio/CHEMBL14249
bio/BTNt3i,bio/CHEMBL14249
bio/CAATPS,bio/CHEMBL14249
bio/DOPAVESSEC,bio/CHEMBL14249
bio/FACOAL1813,bio/CHEMBL14249
bio/FACOAL191,bio/CHEMBL14249
bio/FACOAL206,bio/CHEMBL14249
bio/GABAVESSEC,bio/CHEMBL14249
bio/GLYVESSEC,bio/CHEMBL14249
bio/HISTAVESSEC,bio/CHEMBL14249
bio/HKt,bio/CHEMBL14249
bio/KHK3,bio/CHEMBL14249
bio/LIPOti,bio/CHEMBL14249
bio/MEPIVESSte,bio/CHEMBL14249
bio/NMNATr,bio/CHEMBL14249
