id,compartment,metabolite_dcid
m00113r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM6449
m00114c,dcs:CellularCompartmentCytosol,bio/MNXM12996
m00114l,dcs:CellularCompartmentLysosome,bio/MNXM12996
m00114r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM12996
m00114s,dcs:CellularCompartmentExtracellular,bio/MNXM12996
m00115c,dcs:CellularCompartmentCytosol,bio/MNXM24151
m00115l,dcs:CellularCompartmentLysosome,bio/MNXM24151
m00115r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM24151
m00115s,dcs:CellularCompartmentExtracellular,bio/MNXM24151
m00116c,dcs:CellularCompartmentCytosol,bio/(7Z)-octadecenoyl-CoA
m00116m,dcs:CellularCompartmentMitochondria,bio/(7Z)-octadecenoyl-CoA
m00116r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(7Z)-octadecenoyl-CoA
m00117c,dcs:CellularCompartmentCytosol,bio/MNXM153529
m00117l,dcs:CellularCompartmentLysosome,bio/MNXM153529
m00117r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM153529
m00117s,dcs:CellularCompartmentExtracellular,bio/MNXM153529
m00118c,dcs:CellularCompartmentCytosol,bio/MNXM163972
m00118m,dcs:CellularCompartmentMitochondria,bio/MNXM163972
m00118p,dcs:CellularCompartmentPeroxisome,bio/MNXM163972
m00118r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM163972
m00119c,dcs:CellularCompartmentCytosol,bio/MNXM90397
m00119m,dcs:CellularCompartmentMitochondria,bio/MNXM90397
m00119r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM90397
m00120c,dcs:CellularCompartmentCytosol,bio/MNXM8437
m00120m,dcs:CellularCompartmentMitochondria,bio/MNXM8437
m00120r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8437
m00121c,dcs:CellularCompartmentCytosol,bio/MNXM4529
m00121m,dcs:CellularCompartmentMitochondria,bio/MNXM4529
m00121r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM4529
m00122c,dcs:CellularCompartmentCytosol,bio/(8Z_11Z)-eicosadienoylcarnitine
m00122m,dcs:CellularCompartmentMitochondria,bio/(8Z_11Z)-eicosadienoylcarnitine
m00122r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(8Z_11Z)-eicosadienoylcarnitine
m00123c,dcs:CellularCompartmentCytosol,bio/MNXM47370
m00123m,dcs:CellularCompartmentMitochondria,bio/MNXM47370
m00123r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM47370
m00124c,dcs:CellularCompartmentCytosol,bio/MNXM8574
m00124m,dcs:CellularCompartmentMitochondria,bio/MNXM8574
m00124r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8574
m00125c,dcs:CellularCompartmentCytosol,bio/MNXM5146
m00125m,dcs:CellularCompartmentMitochondria,bio/MNXM5146
m00125r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM5146
m00126c,dcs:CellularCompartmentCytosol,bio/MNXM173930
m00126m,dcs:CellularCompartmentMitochondria,bio/MNXM173930
m00126r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM173930
m00127c,dcs:CellularCompartmentCytosol,bio/MNXM11476
m00127m,dcs:CellularCompartmentMitochondria,bio/MNXM11476
m00127r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM11476
m00128c,dcs:CellularCompartmentCytosol,bio/MNXM173931
m00128l,dcs:CellularCompartmentLysosome,bio/MNXM173931
m00128r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM173931
m00128s,dcs:CellularCompartmentExtracellular,bio/MNXM173931
m00129c,dcs:CellularCompartmentCytosol,bio/(9E)-tetradecenoyl-CoA
m00129m,dcs:CellularCompartmentMitochondria,bio/(9E)-tetradecenoyl-CoA
m00129r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(9E)-tetradecenoyl-CoA
m00130c,dcs:CellularCompartmentCytosol,bio/MNXM9141
m00130r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9141
m00131c,dcs:CellularCompartmentCytosol,bio/MNXM1512
m00131p,dcs:CellularCompartmentPeroxisome,bio/MNXM1512
m00131r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM1512
m00132c,dcs:CellularCompartmentCytosol,bio/MNXM12999
m00132l,dcs:CellularCompartmentLysosome,bio/MNXM12999
m00132r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM12999
m00132s,dcs:CellularCompartmentExtracellular,bio/MNXM12999
m00133c,dcs:CellularCompartmentCytosol,bio/MNXM9139
m00133r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9139
m00134c,dcs:CellularCompartmentCytosol,bio/MNXM169215
m00134p,dcs:CellularCompartmentPeroxisome,bio/MNXM169215
m00134r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM169215
m00135c,dcs:CellularCompartmentCytosol,bio/MNXM12997
m00135l,dcs:CellularCompartmentLysosome,bio/MNXM12997
m00135r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM12997
